Serial_Number,name,rating,price,provider_name,price_currency,level,pace,audio,subtitles,details_path
1,Complete Python Developer in 2021: Zero to Mastery,4.31696222330286,29.0,Zero to Mastery Academy Inc.,USD,['beginner'],self_paced,['en'],[],https://classpert.com/zero-to-mastery/courses/complete-python-developer-in-2021-zero-to-mastery-3x2KCT
2,Complete Node.js Developer in 2021: Zero to Mastery,,29.0,Zero to Mastery Academy Inc.,USD,['beginner'],self_paced,['en'],[],https://classpert.com/zero-to-mastery/courses/learn-node-js-1fHVsC
3,TensorFlow Developer Certificate in 2021: Zero to Mastery,,29.0,Zero to Mastery Academy Inc.,USD,['beginner'],self_paced,['en'],[],https://classpert.com/zero-to-mastery/courses/learn-tensorflow-3QDSry
4,Python 3: Programming in Python for Beginners,4.53199784204609,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-3-programming-in-python-for-beginners-N2M47
5,Python Programming: Learn basics of Python,,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-programming-learn-basics-of-python-OeWCq
6,Introduction to Python,,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/introduction-to-python-4euYZX
7,Python Programming for Beginners: Learn Python in 3 Hours,4.20774494014608,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-programming-for-beginners-learn-python-in-3-hours-Yi6xc
8,Python Tutorial for Beginners,4.11585332125487,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-tutorial-for-beginners-2qt8Q
9,Python Programming for Beginners,4.0528154216926,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-programming-for-beginners-1FErD4
10,Python programming for beginners,4.06093896169182,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-programming-for-beginners-2LPUZU
11,Python Tutorial  for beginners,4.34874598099827,8.25,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-tutorial-for-beginners-24O3rO
12,Python Code for Beginners,4.03755118016872,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-code-for-beginners-47d9E3
13,Python 3 Programming: Your Guide to Basic Python Programming for Beginners,4.19732007999998,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-3-programming-your-guide-to-basic-python-programming-for-beginners-21uaKd
14,Complete Python for beginners 2021,4.33026201503133,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/complete-python-for-beginners-2021-ag15s
15,Python basics : How to learn Python by doing - Exercices included,4.0638875248447,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-basics--how-to-learn-python-by-doing-exercices-included-2AmFMp
16,Python 3 - Basics for Beginners,4.09812151854413,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-3-basics-for-beginners-4wGIo7
17,Python for Beginners:  Anyone Can Code!,4.30469751876668,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/python-for-beginners-anyone-can-code-3PNVlC
18,The Best Foundational Course of Python for beginners,,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/the-best-foundational-course-of-python-for-beginners-1c4OJg
19,Microsoft Future Ready: Introduction to Python Programming,4.18536064920074,,FutureLearn,USD,[],instructor_paced,['en'],['en'],https://classpert.com/futurelearn/courses/microsoft-future-ready-introduction-to-python-programming-2yfn66
20,introduction to the kivy framework (Python Gui  ),3.88142656095021,32.0,Skillshare,USD,[],self_paced,"['en', 'en-US']",['en'],https://classpert.com/skillshare/courses/introduction-to-the-kivy-framework-python-gui--3boL80
